id,loc,phe
B1007,5,2997.33333333333
B1008,5,3103.66666666667
B1009,5,3078
B1158,5,2942.66666666667
B1159,5,2501.33333333333
B1160,5,3690
B1110,5,3136
B1111,5,3666.66666666667
B1161,5,3127
B1062,5,3405
B1010,5,3249.33333333333
B1217,5,2858
B1218,5,2903.33333333333
B1219,5,2607.33333333333
B1220,5,2897.66666666667
B1058,5,3288.33333333333
B1060,5,2896.33333333333
B1061,5,3339.33333333333
B1012,5,3411
B1019,5,3585
B1075,5,3152.66666666667
A1259,5,2670.33333333333
M1463,6,2313.33333333333
A1257,6,2442
A1258,6,2587
A1302,6,2368.66666666667
M1464,6,2397.66666666667
A1261,6,2379
A1262,6,2828
M1467,6,2822.66666666667
B1053,6,2558
A1260,6,2598.33333333333
M1465,6,2087
M1469,6,2832.33333333333
A1304,6,2374.33333333333
M1471,6,2346
A1263,6,2621.66666666667
B1201,6,1286.33333333333
B1202,6,1994.66666666667
B1203,6,2078.33333333333
B1102,6,1998.66666666667
B1205,6,1755
B1151,6,2437.33333333333
B1206,6,2572.66666666667
B1152,6,2483
B1207,6,2344.66666666667
B1208,6,2250
A1307,6,2324
A1309,6,2444.66666666667
A1310,6,2369
A1313,6,2111.33333333333
A1314,6,1521.66666666667
A1311,6,2085.66666666667
A1312,6,2249.33333333333
M1345,6,1542.33333333333
M1351,6,2198
M1353,6,2284.66666666667
M1354,6,2381
M1356,6,2415.33333333333
M1357,6,2335
M1358,6,1759.33333333333
M1359,6,1730.33333333333
M1360,6,2653.66666666667
M1361,6,2342.66666666667
B1209,6,1713
B1210,6,2435.66666666667
B1103,6,2168.33333333333
B1153,6,2023.33333333333
B1005,6,2561.66666666667
B1104,6,2819
B1105,6,2435.66666666667
B1055,6,2442.33333333333
B1106,6,2340.33333333333
B1107,6,2389.33333333333
B1211,6,1860
A1264,6,2845
A1265,6,2398.33333333333
A1316,6,2844.66666666667
A1269,6,2241
A1273,6,2403
A1274,6,2866
A1275,6,2924.66666666667
A1276,6,2738.33333333333
A1279,6,2427
M1367,6,2446
B1155,6,2175.66666666667
B1057,6,2355.33333333333
B1157,6,2360.66666666667
B1011,6,2147
A1267,6,2832.33333333333
A1272,6,2804.33333333333
A1270,6,2386.66666666667
A1277,6,2732
A1321,6,1799
A1317,6,1963
A1318,6,2254.66666666667
A1319,6,1796.66666666667
A1320,6,1463.66666666667
A1268,6,2765.66666666667
M1362,6,1802.33333333333
M1363,6,1915.33333333333
M1347,6,2185.66666666667
M1364,6,2437
M1365,6,2368
M1368,6,2372.33333333333
M1366,6,1948.66666666667
B1216,6,2371.66666666667
B1007,6,2573.33333333333
B1008,6,2146.66666666667
B1009,6,2611
B1158,6,1995
B1159,6,2115
B1160,6,2270.33333333333
B1110,6,2151
B1111,6,1819.33333333333
B1161,6,1967
B1062,6,2680.33333333333
B1010,6,2406.33333333333
B1217,6,2351.33333333333
B1218,6,2977
B1219,6,2224.33333333333
B1220,6,2379
B1058,6,2114.33333333333
B1060,6,1825.33333333333
B1061,6,2047.33333333333
B1012,6,2587
B1019,6,2870
B1075,6,2371.66666666667
A1259,6,2336
M1463,7,2980
A1257,7,2581
A1258,7,3405.5
A1302,7,2813.5
M1464,7,2713
A1261,7,3125.5
A1262,7,3580
M1467,7,3103.5
B1053,7,3388
A1260,7,3541
M1465,7,2515
M1469,7,3225
A1304,7,3079.5
M1471,7,3121.5
A1263,7,3327
B1201,7,2221
B1202,7,3806.5
B1203,7,3143
B1102,7,2956.5
B1205,7,3748.5
B1151,7,3285
B1206,7,3581.5
B1152,7,3158
B1207,7,3390.5
B1208,7,2855
A1307,7,3083
A1309,7,3493
A1310,7,3641
A1313,7,2726.5
A1314,7,2557.5
A1311,7,2696.5
A1312,7,3370
M1345,7,2087.5
M1351,7,2955
M1353,7,3630.5
M1354,7,3058
M1356,7,3285
M1357,7,3100.5
M1358,7,3181
M1359,7,2322.5
M1360,7,3695.5
M1361,7,3255.5
B1209,7,3016
B1210,7,2887
B1103,7,2911
B1153,7,2831.5
B1005,7,3325.5
B1104,7,3522.5
B1105,7,3225
B1055,7,3052.5
B1106,7,3160
B1107,7,2962.5
B1211,7,2328
A1264,7,3128
A1265,7,2818.5
A1316,7,3331.5
A1269,7,3128
A1273,7,3095.5
A1274,7,4008.5
A1275,7,3036.5
A1276,7,3178
A1279,7,2347.5
M1367,7,2621.5
B1155,7,2618.5
B1057,7,2994.5
B1157,7,2642
B1011,7,2891
A1267,7,3550
A1272,7,3161.5
A1270,7,3085
A1277,7,3519.5
A1321,7,3055.5
A1317,7,2925.5
A1318,7,3203
A1319,7,2954
A1320,7,2608.5
A1268,7,3300
M1362,7,2852.5
M1363,7,3185.5
M1347,7,2436.5
M1364,7,2880
M1365,7,2857.5
M1368,7,3251.5
M1366,7,3065.5
B1216,7,2310
B1007,7,3072
B1008,7,2734
B1009,7,2920
B1158,7,2618
B1159,7,2642.5
B1160,7,3128
B1110,7,3219
B1111,7,2794.5
B1161,7,2658.5
B1062,7,2943
B1010,7,3123
B1217,7,3208
B1218,7,2871.5
B1219,7,3082.5
B1220,7,2715.5
B1058,7,3274
B1060,7,2440
B1061,7,2291
B1012,7,3125.5
B1019,7,3422
B1075,7,2422
A1259,7,2890.5
M1463,8,3271
A1257,8,3023.66666666667
A1258,8,3135.66666666667
A1302,8,3047
M1464,8,2567
A1261,8,2901.33333333333
A1262,8,3386.33333333333
M1467,8,2901.33333333333
B1053,8,3093
A1260,8,3084
M1465,8,2660
M1469,8,3232.66666666667
A1304,8,3053.66666666667
M1471,8,3043.66666666667
A1263,8,2991.66666666667
B1201,8,2474
B1202,8,2828.33333333333
B1203,8,3184.66666666667
B1102,8,2939.33333333333
B1205,8,2835.33333333333
B1151,8,2929.66666666667
B1206,8,3089.33333333333
B1152,8,3166
B1207,8,3081.33333333333
B1208,8,2735.33333333333
A1307,8,2933.66666666667
A1309,8,3207.33333333333
A1310,8,3296
A1313,8,2303.33333333333
A1314,8,3291.66666666667
A1311,8,2738.33333333333
A1312,8,2725.33333333333
M1345,8,1968.66666666667
M1351,8,2629.33333333333
M1353,8,3259.66666666667
M1354,8,2841
M1356,8,2784.66666666667
M1357,8,3367.33333333333
M1358,8,2557.66666666667
M1359,8,2420.66666666667
M1360,8,2994.66666666667
M1361,8,2854.33333333333
B1209,8,2596.33333333333
B1210,8,3017.33333333333
B1103,8,2938.33333333333
B1153,8,2847.66666666667
B1005,8,3150.33333333333
B1104,8,2840.33333333333
B1105,8,2800.33333333333
B1055,8,2972.66666666667
B1106,8,3016
B1107,8,3104
B1211,8,2862.66666666667
A1264,8,2993.66666666667
A1265,8,3063.33333333333
A1316,8,3186.66666666667
A1269,8,2926.66666666667
A1273,8,2942.66666666667
A1274,8,3398.66666666667
A1275,8,2975.33333333333
A1276,8,3232.66666666667
A1279,8,2535.33333333333
M1367,8,2863.66666666667
B1155,8,2759.33333333333
B1057,8,2391
B1157,8,3166.33333333333
B1011,8,2710
A1267,8,3190.66666666667
A1272,8,2978.33333333333
A1270,8,3035
A1277,8,3000
A1321,8,2385
A1317,8,3514
A1318,8,2775.66666666667
A1319,8,2817.66666666667
A1320,8,2450
A1268,8,3111
M1362,8,2359.66666666667
M1363,8,2840
M1347,8,2420
M1364,8,2538.33333333333
M1365,8,3262.66666666667
M1368,8,2716.33333333333
M1366,8,3286.66666666667
B1216,8,2609.66666666667
B1007,8,3025.66666666667
B1008,8,2788.33333333333
B1009,8,2758
B1158,8,3233.66666666667
B1159,8,2602
B1160,8,2684.66666666667
B1110,8,3024.66666666667
B1111,8,3018.33333333333
B1161,8,2398.33333333333
B1062,8,3092.33333333333
B1010,8,3254.66666666667
B1217,8,3008.66666666667
B1218,8,2972
B1219,8,2707
B1220,8,2843.33333333333
B1058,8,2873
B1060,8,2754
B1061,8,2896.66666666667
B1012,8,2691
B1019,8,3316.66666666667
B1075,8,2545.66666666667
A1259,8,2993
