ID,Breeding.values
A1257,118.451477498573
A1258,242.423224207814
A1259,122.205343404251
A1260,186.319091759847
A1261,161.043049552225
A1262,381.806917697365
A1263,211.08292074407
A1264,244.311271616921
A1265,131.257108247105
A1267,222.196199610079
A1268,268.719626254256
A1269,232.263638249673
A1270,237.616644925637
A1272,228.002583698333
A1273,261.395331444345
A1274,348.519018040588
A1275,265.482310518889
A1276,286.804749492608
A1277,237.335788334394
A1279,-5.49479419205452
A1302,72.1444181708824
A1304,274.642442807923
A1307,246.135169472796
A1309,248.000354596051
A1310,255.505492596646
A1311,56.8806067989401
A1312,147.327470238772
A1313,9.34955649749121
A1314,13.015378923047
A1316,305.609397015472
A1317,197.382046242744
A1318,104.8030933602
A1319,75.434166803029
A1320,-80.5748985862219
A1321,14.7207536715253
B1005,217.889662231435
B1007,190.383146093548
B1008,37.3072645572969
B1009,52.8473234392596
B1010,188.995677470295
B1011,45.9577977219141
B1012,205.420551582571
B1019,286.642851638702
B1053,298.187265198913
B1055,219.593976747334
B1057,114.463984958014
B1058,155.359690543389
B1060,-39.1838912597002
B1061,-64.664654480355
B1062,239.561009997613
B1075,26.5252547635218
B1102,131.910228960673
B1103,187.222042246158
B1104,322.315295698382
B1105,175.211006195842
B1106,99.7601796635451
B1107,20.1092446476276
B1110,138.64680732061
B1111,173.495445781849
B1151,177.814105862438
B1152,177.021716665414
B1153,85.7137265976085
B1155,-74.5133323479802
B1157,150.728579297243
B1158,175.938309347439
B1159,-11.6115194362861
B1160,138.850985492884
B1161,-38.5795848221983
B1201,-35.3370834925
B1202,-2.80002358413572
B1203,64.3347337521274
B1205,125.377180603378
B1206,170.36973525827
B1207,277.68285577287
B1208,51.1895489109072
B1209,52.2948864194893
B1210,76.0010242082053
B1211,49.6044571326193
B1216,-57.3049943719243
B1217,71.2229854368344
B1218,146.94157145261
B1219,34.396960956682
B1220,63.6408107001323
M1345,-253.578136214755
M1347,-144.0349037816
M1351,97.8876709717294
M1353,110.191395977259
M1354,105.087050650208
M1356,110.849358609482
M1357,109.942858218223
M1358,-83.9828015745921
M1359,-217.144286168676
M1360,137.686553974522
M1361,108.28494661616
M1362,-68.2110069871161
M1363,5.48786354530735
M1364,4.10225897665233
M1365,90.5214544003378
M1366,4.11703187112106
M1367,16.7750471819518
M1368,119.811626161178
M1463,11.6154279467943
M1464,-4.91810515484809
M1465,-152.089944519987
M1467,166.103286446641
M1469,130.849622609203
M1471,90.0656460456316
